nazwa rozwiazania,liczba filozofow,numer filozofa,sredni czas oczekiwania
Rozwiązanie asymetryczne,30,9,407.916389
Rozwiązanie asymetryczne,30,17,408.04506699999996
Rozwiązanie asymetryczne,30,15,407.868946
Rozwiązanie asymetryczne,30,23,408.05838000000006
Rozwiązanie asymetryczne,30,26,413.14113299999997
Rozwiązanie asymetryczne,30,18,413.247248
Rozwiązanie asymetryczne,30,10,413.302053
Rozwiązanie asymetryczne,30,22,413.325767
Rozwiązanie asymetryczne,30,24,413.199816
Rozwiązanie asymetryczne,30,27,418.338899
Rozwiązanie z arbitrem,30,27,891.777307
Rozwiązanie z arbitrem,30,26,896.615417
Rozwiązanie z arbitrem,30,4,897.3063589999999
Rozwiązanie z arbitrem,30,22,897.1563430000001
Rozwiązanie z arbitrem,30,25,901.622973
Rozwiązanie z arbitrem,30,3,901.881648
Rozwiązanie z arbitrem,30,21,902.2292789999999
Rozwiązanie z arbitrem,30,7,901.7974589999999
Rozwiązanie z arbitrem,30,0,901.8837189999999
Rozwiązanie z arbitrem,30,12,902.2542149999999
Rozwiązanie z arbitrem,30,14,906.797356
Rozwiązanie z arbitrem,30,24,906.893359
Rozwiązanie z arbitrem,30,16,906.930484
Rozwiązanie z arbitrem,30,18,907.011501
Rozwiązanie z arbitrem,30,2,906.9016839999999
Rozwiązanie z arbitrem,30,29,907.292859
Rozwiązanie z arbitrem,30,6,907.0593489999999
Rozwiązanie z arbitrem,30,20,907.202127
Rozwiązanie z arbitrem,30,9,907.344912
Rozwiązanie z arbitrem,30,11,907.1250299999999
Rozwiązanie z arbitrem,30,13,911.772716
Rozwiązanie z arbitrem,30,23,911.860941
Rozwiązanie z arbitrem,30,17,911.979986
Rozwiązanie z arbitrem,30,1,912.171603
Rozwiązanie z arbitrem,30,15,911.820432
Rozwiązanie z arbitrem,30,5,912.280485
Rozwiązanie z arbitrem,30,28,912.35363
Rozwiązanie z arbitrem,30,19,912.334258
Rozwiązanie z arbitrem,30,10,912.473305
Rozwiązanie z arbitrem,30,8,912.294793
